Modalidade;Transportadora;Cep Inicial;Cep Final;UF;    Frete    ;Prazo;     Peso Inicial     ;        Peso Final        ;  GRIS  ;ADVALOREM;ICMS;Taxa Peso Extra;Fator Cubagem;Origem
16;35;01000000;01099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01100000;01199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01200000;01299999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01300000;01399999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01400000;01499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;01500000;01599999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02000000;02199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02200000;02281999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02282000;02290030;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02300000;02318999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02319000;02359999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02360000;02399999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02400000;02699999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02700000;02799999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02801000;02883160;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02901000;02952125;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02952130;02954999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02955000;02979210;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02981000;02982999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02983000;02989900;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;02990000;02998369;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03000000;03199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03200000;03499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03500000;03799999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;03800000;03999999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04000000;04099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04100000;04199999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04200000;04229999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04230000;04245999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04246000;04299999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04300000;04335999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04336000;04337999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04338000;04385999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04386000;04387360;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04400000;04499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04500000;04599990;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04600000;04699999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04700000;04799999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04801000;04865065;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;04900000;04948999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05000000;05099999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05100000;05179999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05180000;05187949;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05200000;05203999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05211000;05275010;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05275030;05283260;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05300000;05399999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05400000;05499999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05500000;05580999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05581000;05599999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05600000;05699999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05700000;05770999;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05771000;05790450;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05792000;05798350;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;05800000;05894460;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06000000;06298970;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
16;35;06300000;06397670;SP; 7,30 ;2; 0,001 ; 0,250 ;0,003;0;0;0;0;3333
